dari,ke,jarak,jarak_lurus
Brebes,Tegal,11.6,10.0
Brebes,Slawi,28.6,18.0
Slawi,Purwokerto,89.0,50.0
Purwokerto,Cilacap,49.6,39.0
Purwokerto,Kroya,31.1,0.0
Purwokerto,Kebumen,71.0,55.0
Cilacap,Kroya,47.6,0.0
Kroya,Kebumen,53.6,0.0
Kebumen,Purworejo,42.0,38.0
Purworejo,Magelang,8.6,35.0
Magelang,Wonosobo,61.1,36.0
Magelang,Temanggung,24.4,19.0
Magelang,Boyolali,0.0,42.0
Boyolali,Klaten,45.7,26.0
Boyolali,Solo,27.8,11541.0
Solo,Purwodadi,1.2,11538.0
Solo,Sragen,32.3,11570.0
Solo,Sukoharjo,13.4,11571.0
Sukoharjo,Wonogiri,40.7,19.0
Sragen,Blora,83.6,66.0
Blora,Purwodadi,65.0,57.0
Blora,Rembang,36.1,0.0
Rembang,Kudus,60.3,56.0
Kudus,Demak,26.0,24.0
Kudus,Purwodadi,47.1,32.0
Demak,Semarang,30.7,26.0
Semarang,Salatiga,50.1,42.0
Salatiga,Temanggung,49.0,36.0
Semarang,Kendal,36.9,12128.0
Kendal,Temanggung,0.0,12145.0
Temanggung,Wonosobo,39.1,29.0
Kendal,Pekalongan,73.2,12074.0
Pekalongan,Pemalang,35.0,34.0
Pemalang,Purbalingga,68.8,52.0
Pemalang,Tegal,32.7,27.0
Purwokerto,Purbalingga,20.2,14.0
